file_name,start_time,end_time,v0_lon,v0_lat,v1_lon,v1_lat,v2_lon,v2_lat,v3_lon,v3_lat,ratio_Al,ratio_Ca,ratio_Si,ratio_O,ratio_Fe,ratio_Mg,solar_class
ch2_cla_l1_20240701T110056112_20240701T110104112.fits,2024-07-01 11:00:56.112000,2024-07-01 11:01:04.112000,-123.782,86.3194,-124.635,85.104,-115.291,85.0019,-111.537,86.185,20,10,40,15,15,30,A
ch2_cla_l1_20240701T184538911_20240701T184546911.fits,2024-07-01 18:45:38.911000,2024-07-01 18:45:46.911000,-24.6072,88.8904,13.4616,88.1534,38.0143,88.4629,7.5382,89.5735,20,10,40,15,15,30,A
ch2_cla_l1_20240701T151929767_20240701T151937767.fits,2024-07-01 15:19:29.767000,2024-07-01 15:19:37.767000,-129.922,10.0856,-129.937,8.7308,-128.97,8.7198,-128.951,10.0746,20,10,40,15,15,30,A
ch2_cla_l1_20240701T093619848_20240701T093627848.fits,2024-07-01 09:36:19.848000,2024-07-01 09:36:27.848000,-126.924,-9.7461,-126.942,-11.0778,-125.993,-11.0881,-125.979,-9.7563,20,10,40,15,15,30,A
ch2_cla_l1_20240701T171045826_20240701T171053826.fits,2024-07-01 17:10:45.826000,2024-07-01 17:10:53.826000,-130.8,26.0285,-130.814,24.675,-129.764,24.663,-129.738,26.0164,20,10,40,15,15,30,A
ch2_cla_l1_20240701T130205196_20240701T130213196.fits,2024-07-01 13:02:05.196000,2024-07-01 13:02:13.196000,-127.693,72.5196,-127.748,71.2561,-125.074,71.2266,-124.838,72.4882,20,10,40,15,15,30,A
ch2_cla_l1_20240701T112400112_20240701T112408112.fits,2024-07-01 11:24:00.112000,2024-07-01 11:24:08.112000,-127.664,16.9801,-127.678,15.6192,-126.679,15.6083,-126.658,16.9692,20,10,40,15,15,30,A
ch2_cla_l1_20240701T150025767_20240701T150033767.fits,2024-07-01 15:00:25.767000,2024-07-01 15:00:33.767000,-128.971,67.2554,-129.008,65.9777,-126.86,65.9536,-126.713,67.2301,20,10,40,15,15,30,A
ch2_cla_l1_20240701T114528112_20240701T114536112.fits,2024-07-01 11:45:28.112000,2024-07-01 11:45:36.112000,-128.846,-47.7314,-128.89,-48.9481,-127.657,-48.9615,-127.639,-47.7446,20,10,40,15,15,30,A
ch2_cla_l1_20240701T170949826_20240701T170957826.fits,2024-07-01 17:09:49.826000,2024-07-01 17:09:57.826000,-130.763,28.8211,-130.777,27.4695,-129.704,27.4572,-129.676,28.8087,20,10,40,15,15,30,A
ch2_cla_l1_20240701T192738911_20240701T192746911.fits,2024-07-01 19:27:38.911000,2024-07-01 19:27:46.911000,-132.868,-34.945,-132.9,-36.209,-131.835,-36.2217,-131.818,-34.9576,20,10,40,15,15,30,A
ch2_cla_l1_20240701T175245826_20240701T175253826.fits,2024-07-01 17:52:45.826000,2024-07-01 17:52:53.826000,50.5374,-76.9813,50.6748,-77.9984,53.5526,-77.9652,53.1881,-76.9507,20,10,40,15,15,30,A
ch2_cla_l1_20240701T194802911_20240701T194810911.fits,2024-07-01 19:48:02.911000,2024-07-01 19:48:10.911000,50.2831,-81.0943,50.5975,-82.127,55.0729,-82.0737,54.239,-81.0472,20,10,40,15,15,30,A
ch2_cla_l1_20240701T133029195_20240701T133037195.fits,2024-07-01 13:30:29.195000,2024-07-01 13:30:37.195000,-129.15,-12.6645,-129.169,-13.9888,-128.218,-13.9995,-128.203,-12.6751,20,10,40,15,15,30,A
ch2_cla_l1_20240701T114256112_20240701T114304112.fits,2024-07-01 11:42:56.112000,2024-07-01 11:43:04.112000,-128.604,-40.008,-128.638,-41.2531,-127.522,-41.2653,-127.506,-40.02,20,10,40,15,15,30,A
ch2_cla_l1_20240701T135101195_20240701T135109195.fits,2024-07-01 13:51:01.195000,2024-07-01 13:51:09.195000,-132.523,-75.2819,-132.834,-76.3899,-129.871,-76.4227,-129.771,-75.3123,20,10,40,15,15,30,A
ch2_cla_l1_20240701T164429826_20240701T164437826.fits,2024-07-01 16:44:29.826000,2024-07-01 16:44:37.826000,45.6145,75.6503,45.9209,74.5154,48.6387,74.5466,48.549,75.6839,20,10,40,15,15,30,A
ch2_cla_l1_20240701T153649767_20240701T153657767.fits,2024-07-01 15:36:49.767000,2024-07-01 15:36:57.767000,-130.865,-42.1577,-130.903,-43.3963,-129.757,-43.4094,-129.74,-42.1705,20,10,40,15,15,30,A
ch2_cla_l1_20240701T170053826_20240701T170101826.fits,2024-07-01 17:00:53.826000,2024-07-01 17:01:01.826000,-130.342,55.6049,-130.363,54.2974,-128.81,54.2797,-128.739,55.5867,20,10,40,15,15,30,A
ch2_cla_l1_20240701T094435848_20240701T094443848.fits,2024-07-01 09:44:35.848000,2024-07-01 09:44:43.848000,-127.373,-34.703,-127.402,-35.9657,-126.342,-35.9771,-126.327,-34.7143,20,10,40,15,15,30,A
ch2_cla_l1_20240701T091307848_20240701T091315848.fits,2024-07-01 09:13:07.848000,2024-07-01 09:13:15.848000,-125.977,59.7272,-125.998,58.4206,-124.27,58.4021,-124.183,59.708,20,10,40,15,15,30,A
ch2_cla_l1_20240701T105344112_20240701T105352112.fits,2024-07-01 10:53:44.112000,2024-07-01 10:53:52.112000,49.7075,72.7326,49.9141,71.6034,52.1911,71.6281,52.1337,72.7589,20,10,40,15,15,30,A
ch2_cla_l1_20240701T170501826_20240701T170509826.fits,2024-07-01 17:05:01.826000,2024-07-01 17:05:09.826000,-130.56,43.1949,-130.576,41.8613,-129.322,41.8471,-129.28,43.1804,20,10,40,15,15,30,A
ch2_cla_l1_20240701T112848112_20240701T112856112.fits,2024-07-01 11:28:48.112000,2024-07-01 11:28:56.112000,-127.845,2.6169,-127.86,1.2659,-126.909,1.2554,-126.892,2.6064,20,10,40,15,15,30,A
ch2_cla_l1_20240701T130645195_20240701T130653195.fits,2024-07-01 13:06:45.195000,2024-07-01 13:06:53.195000,-128.146,58.4452,-128.168,57.1401,-126.503,57.1218,-126.421,58.4262,20,10,40,15,15,30,A
ch2_cla_l1_20240701T191714911_20240701T191722911.fits,2024-07-01 19:17:14.911000,2024-07-01 19:17:22.911000,-132.282,-3.5803,-132.3,-4.9188,-131.358,-4.93,-131.342,-3.5915,20,10,40,15,15,30,A
ch2_cla_l1_20240701T133013195_20240701T133021195.fits,2024-07-01 13:30:13.195000,2024-07-01 13:30:21.195000,-129.138,-11.8624,-129.157,-13.1884,-128.207,-13.1991,-128.192,-11.873,20,10,40,15,15,30,A
ch2_cla_l1_20240701T191346911_20240701T191354911.fits,2024-07-01 19:13:46.911000,2024-07-01 19:13:54.911000,-132.135,6.8125,-132.151,5.4626,-131.196,5.4513,-131.178,6.8012,20,10,40,15,15,30,A
ch2_cla_l1_20240701T093331848_20240701T093339848.fits,2024-07-01 09:33:31.848000,2024-07-01 09:33:39.848000,-126.808,-1.3426,-126.824,-2.6894,-125.876,-2.6996,-125.86,-1.3529,20,10,40,15,15,30,A
ch2_cla_l1_20240701T150241767_20240701T150249767.fits,2024-07-01 15:02:41.767000,2024-07-01 15:02:49.767000,-129.169,60.4216,-129.194,59.1242,-127.449,59.1046,-127.357,60.4013,20,10,40,15,15,30,A
ch2_cla_l1_20240701T092523848_20240701T092531848.fits,2024-07-01 09:25:23.848000,2024-07-01 09:25:31.848000,-126.506,22.991,-126.519,21.6286,-125.483,21.6174,-125.459,22.9797,20,10,40,15,15,30,A
ch2_cla_l1_20240701T153817767_20240701T153825767.fits,2024-07-01 15:38:17.767000,2024-07-01 15:38:25.767000,-131.011,-46.6287,-131.055,-47.8515,-129.839,-47.8653,-129.821,-46.6423,20,10,40,15,15,30,A
ch2_cla_l1_20240701T094627848_20240701T094635848.fits,2024-07-01 09:46:27.848000,2024-07-01 09:46:35.848000,-127.516,-40.3763,-127.55,-41.6195,-126.43,-41.6315,-126.414,-40.3882,20,10,40,15,15,30,A
ch2_cla_l1_20240701T175021826_20240701T175029826.fits,2024-07-01 17:50:21.826000,2024-07-01 17:50:29.826000,52.6182,-84.4766,53.453,-85.5176,61.3219,-85.426,59.0341,-84.4021,20,10,40,15,15,30,A
ch2_cla_l1_20240701T112616112_20240701T112624112.fits,2024-07-01 11:26:16.112000,2024-07-01 11:26:24.112000,-127.748,10.2008,-127.762,8.8429,-126.792,8.8322,-126.773,10.19,20,10,40,15,15,30,A
ch2_cla_l1_20240701T125845196_20240701T125853196.fits,2024-07-01 12:58:45.196000,2024-07-01 12:58:53.196000,-126.562,82.6229,-126.818,81.3948,-121.347,81.3343,-120.21,82.5526,20,10,40,15,15,30,A
ch2_cla_l1_20240701T173109826_20240701T173117826.fits,2024-07-01 17:31:09.826000,2024-07-01 17:31:17.826000,-131.777,-35.2833,-131.809,-36.5454,-130.741,-36.558,-130.725,-35.2955,20,10,40,15,15,30,A
ch2_cla_l1_20240701T134757196_20240701T134805196.fits,2024-07-01 13:47:57.196000,2024-07-01 13:48:05.196000,-131.016,-65.8076,-131.136,-66.9549,-129.254,-66.9757,-129.213,-65.8276,20,10,40,15,15,30,A
ch2_cla_l1_20240701T094955848_20240701T095003848.fits,2024-07-01 09:49:55.848000,2024-07-01 09:50:03.848000,-127.866,-50.9565,-127.916,-52.16,-126.619,-52.1738,-126.6,-50.9701,20,10,40,15,15,30,A
ch2_cla_l1_20240701T124941195_20240701T124949195.fits,2024-07-01 12:49:41.195000,2024-07-01 12:49:49.195000,48.9571,70.7141,49.1244,69.5943,51.1562,69.6167,51.1067,70.7378,20,10,40,15,15,30,A
ch2_cla_l1_20240701T091059848_20240701T091107848.fits,2024-07-01 09:10:59.848000,2024-07-01 09:11:07.848000,-125.818,66.1505,-125.848,64.8621,-123.763,64.8398,-123.631,66.1271,20,10,40,15,15,30,A
ch2_cla_l1_20240701T184650911_20240701T184658911.fits,2024-07-01 18:46:50.911000,2024-07-01 18:46:58.911000,-124.263,87.8306,-126.863,86.6338,-113.825,86.4787,-105.099,87.5974,20,10,40,15,15,30,A
ch2_cla_l1_20240701T185042911_20240701T185050911.fits,2024-07-01 18:50:42.911000,2024-07-01 18:50:50.911000,-130.56,76.0868,-130.655,74.8421,-127.447,74.8047,-127.079,76.0461,20,10,40,15,15,30,A
ch2_cla_l1_20240701T114512112_20240701T114520112.fits,2024-07-01 11:45:12.112000,2024-07-01 11:45:20.112000,-128.817,-46.917,-128.86,-48.1368,-127.642,-48.1501,-127.624,-46.93,20,10,40,15,15,30,A
ch2_cla_l1_20240701T170717826_20240701T170725826.fits,2024-07-01 17:07:17.826000,2024-07-01 17:07:25.826000,-130.66,36.4039,-130.675,35.0599,-129.521,35.0468,-129.487,36.3905,20,10,40,15,15,30,A
ch2_cla_l1_20240701T111008112_20240701T111016112.fits,2024-07-01 11:10:08.112000,2024-07-01 11:10:16.112000,-127.074,58.5036,-127.095,57.1962,-125.423,57.178,-125.342,58.4848,20,10,40,15,15,30,A
